label,code,class,key
Malignant neoplasm of ovary,1830,ICD,card
Malignant neoplasm of fallopian tube,1832,ICD,card
Malignant neoplasm of vagina,1840,ICD,card
"Malignant neoplasm of vulva, unspecified site",1844,ICD,card
Malignant neoplasm of other and unspecified testis,1869,ICD,card
"Malignant neoplasm of penis, part unspecified",1874,ICD,card
Malignant neoplasm of trigone of urinary bladder,1880,ICD,card
Malignant neoplasm of dome of urinary bladder,1881,ICD,card
Malignant neoplasm of lateral wall of urinary bladder,1882,ICD,card
Malignant neoplasm of anterior wall of urinary bladder,1883,ICD,card
Malignant neoplasm of posterior wall of urinary bladder,1884,ICD,card
Malignant neoplasm of bladder neck,1885,ICD,card
Malignant neoplasm of ureteric orifice,1886,ICD,card
Malignant neoplasm of other specified sites of bladder,1888,ICD,card
"Malignant neoplasm of bladder, part unspecified",1889,ICD,card
"Malignant neoplasm of kidney, except pelvis",1890,ICD,card
Malignant neoplasm of renal pelvis,1891,ICD,card
Malignant neoplasm of ureter,1892,ICD,card
Malignant neoplasm of urethra,1893,ICD,card
"Malignant neoplasm of urinary organ, site unspecified",1899,ICD,card
Malignant neoplasm of choroid,1906,ICD,card
"Malignant neoplasm of cerebrum, except lobes and ventricles",1910,ICD,card
Malignant neoplasm of frontal lobe of brain,1911,ICD,card
Malignant neoplasm of temporal lobe of brain,1912,ICD,card
Malignant neoplasm of parietal lobe of brain,1913,ICD,card
Malignant neoplasm of occipital lobe of brain,1914,ICD,card
Malignant neoplasm of other parts of brain,1918,ICD,card
"Malignant neoplasm of brain, unspecified site",1919,ICD,card
Malignant neoplasm of cerebral meninges,1921,ICD,card
Malignant neoplasm of adrenal gland,1940,ICD,card
"Malignant neoplasm of head, face, and neck",1950,ICD,card
Malignant neoplasm of thorax,1951,ICD,card
Malignant neoplasm of abdomen,1952,ICD,card
"Secondary and unspecified malignant neoplasm of lymph nodes of head, face, and neck",1960,ICD,card
Secondary and unspecified malignant neoplasm of intrathoracic lymph nodes,1961,ICD,card
Secondary and unspecified malignant neoplasm of intra-abdominal lymph nodes,1962,ICD,card
Secondary and unspecified malignant neoplasm of lymph nodes of axilla and upper limb,1963,ICD,card
Secondary and unspecified malignant neoplasm of lymph nodes of inguinal region and lower limb,1965,ICD,card
Secondary malignant neoplasm of lung,1970,ICD,card
Secondary malignant neoplasm of mediastinum,1971,ICD,card
Secondary malignant neoplasm of pleura,1972,ICD,card
Secondary malignant neoplasm of small intestine including duodenum,1974,ICD,card
Secondary malignant neoplasm of large intestine and rectum,1975,ICD,card
Secondary malignant neoplasm of retroperitoneum and peritoneum,1976,ICD,card
Secondary malignant neoplasm of liver,1977,ICD,card
Secondary malignant neoplasm of other digestive organs and spleen,1978,ICD,card
Secondary malignant neoplasm of kidney,1980,ICD,card
Secondary malignant neoplasm of other urinary organs,1981,ICD,card
Secondary malignant neoplasm of skin,1982,ICD,card
Secondary malignant neoplasm of brain and spinal cord,1983,ICD,card
Secondary malignant neoplasm of other parts of nervous system,1984,ICD,card
Secondary malignant neoplasm of bone and bone marrow,1985,ICD,card
Secondary malignant neoplasm of adrenal gland,1987,ICD,card
Disseminated malignant neoplasm,1990,ICD,card
Other malignant neoplasm of unspecified site,1991,ICD,card
Benign neoplasm of bronchus and lung,2123,ICD,card
Benign neoplasm of heart,2127,ICD,card
Benign neoplasm of brain,2250,ICD,card
Benign neoplasm of cerebral meninges,2252,ICD,card
Benign neoplasm of spinal meninges,2254,ICD,card
Carcinoma in situ of esophagus,2301,ICD,card
Carcinoma in situ of stomach,2302,ICD,card
Carcinoma in situ of colon,2303,ICD,card
Carcinoma in situ of rectum,2304,ICD,card
Carcinoma in situ of larynx,2310,ICD,card
Carcinoma in situ of bronchus and lung,2312,ICD,card
Carcinoma in situ of breast,2330,ICD,card
Carcinoma in situ of cervix uteri,2331,ICD,card
Carcinoma in situ of other and unspecified parts of uterus,2332,ICD,card
"Carcinoma in situ, other and unspecified female genital organs",2333,ICD,card
Carcinoma in situ of prostate,2334,ICD,card
Carcinoma in situ of bladder,2337,ICD,card
Carcinoma in situ of other specified sites,2348,ICD,card
Neoplasm of uncertain behavior of major salivary glands,2350,ICD,card
"Neoplasm of uncertain behavior of lip, oral cavity, and pharynx",2351,ICD,card
"Neoplasm of uncertain behavior of stomach, intestines, and rectum",2352,ICD,card
Neoplasm of uncertain behavior of liver and biliary passages,2353,ICD,card
Neoplasm of uncertain behavior of other and unspecified digestive organs,2355,ICD,card
Neoplasm of uncertain behavior of larynx,2356,ICD,card
"Neoplasm of uncertain behavior of trachea, bronchus, and lung",2357,ICD,card
Neoplasm of uncertain behavior of ovary,2362,ICD,card
Neoplasm of uncertain behavior of prostate,2365,ICD,card
Neoplasm of uncertain behavior of bladder,2367,ICD,card
Neoplasm of uncertain behavior of pituitary gland and craniopharyngeal duct,2370,ICD,card
Neoplasm of uncertain behavior of other and unspecified endocrine glands,2374,ICD,card
Neoplasm of uncertain behavior of brain and spinal cord,2375,ICD,card
Neoplasm of uncertain behavior of bone and articular cartilage,2380,ICD,card
Neoplasm of uncertain behavior of connective and other soft tissue,2381,ICD,card
Neoplasm of uncertain behavior of skin,2382,ICD,card
Neoplasm of uncertain behavior of breast,2383,ICD,card
Neoplasm of uncertain behavior of polycythemia vera,2384,ICD,card
Neoplasm of uncertain behavior of other specified sites,2388,ICD,card
"Neoplasm of uncertain behavior, site unspecified",2389,ICD,card
Neoplasm of unspecified nature of digestive system,2390,ICD,card
Neoplasm of unspecified nature of respiratory system,2391,ICD,card
"Neoplasms of unspecified nature of bone, soft tissue, and skin",2392,ICD,card
Neoplasm of unspecified nature of breast,2393,ICD,card
Neoplasm of unspecified nature of bladder,2394,ICD,card
Neoplasm of unspecified nature of other genitourinary organs,2395,ICD,card
Neoplasm of unspecified nature of brain,2396,ICD,card
Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,2397,ICD,card
Neoplasm of unspecified nature of other specified sites,2398,ICD,card
"Neoplasm of unspecified nature, site unspecified",2399,ICD,card
Acute thyroiditis,2450,ICD,card
Unspecified thyroiditis,2459,ICD,card
Hypoglycemic coma,2510,ICD,card
Other specified hypoglycemia,2511,ICD,card
"Hypoglycemia, unspecified",2512,ICD,card
Diabetes insipidus,2535,ICD,card
Carcinoid syndrome,2592,ICD,card
Unspecified protein-calorie malnutrition,2639,ICD,card
Other and unspecified manifestations of thiamine deficiency,2651,ICD,card
Monoclonal paraproteinemia,2731,ICD,card
Disorders of magnesium metabolism,2752,ICD,card
Disorders of phosphorus metabolism,2753,ICD,card
Hyperosmolality and/or hypernatremia,2760,ICD,card
Hyposmolality and/or hyponatremia,2761,ICD,card
Acidosis,2762,ICD,card
Alkalosis,2763,ICD,card
Mixed acid-base balance disorder,2764,ICD,card
Fluid overload,2766,ICD,card
Hyperpotassemia,2767,ICD,card
Hypopotassemia,2768,ICD,card
Electrolyte and fluid disorders not elsewhere classified,2769,ICD,card
Amyloidosis,2773,ICD,card
Unspecified disorder of metabolism,2779,ICD,card
Iron deficiency anemia secondary to blood loss (chronic),2800,ICD,card
Iron deficiency anemia secondary to inadequate dietary iron intake,2801,ICD,card
Other specified iron deficiency anemias,2808,ICD,card
Unspecified iron deficiency anemia,2809,ICD,card
Pernicious anemia,2810,ICD,card
Other vitamin B12 deficiency anemia,2811,ICD,card
Folate-deficiency anemia,2812,ICD,card
Other specified megaloblastic anemias not elsewhere classified,2813,ICD,card
Anemia associated with other specified nutritional deficiency,2818,ICD,card
Unspecified deficiency anemia,2819,ICD,card
Autoimmune hemolytic anemias,2830,ICD,card
"Acquired hemolytic anemia, unspecified",2839,ICD,card
Pancytopenia,2841,ICD,card
Other specified aplastic anemias,2848,ICD,card
Unspecified aplastic anemia,2849,ICD,card
Sideroblastic anemia,2850,ICD,card
Acute posthemorrhagic anemia,2851,ICD,card
Chemotherapy induced anemia,2853,ICD,card
Other specified anemias,2858,ICD,card
Unspecified anemia,2859,ICD,card
Hemorrhagic disorder due to intrinsic circulating anticoagulants,2865,ICD,card
Defibrination syndrome,2866,ICD,card
Unspecified hemorrhagic conditions,2879,ICD,card
"Polycythemia, secondary",2890,ICD,card
Senile dementia with delirium,2903,ICD,card
Unspecified senile psychotic condition,2909,ICD,card
Alcohol withdrawal delirium,2910,ICD,card
Drug withdrawal,2920,ICD,card
Unspecified drug-induced mental disorder,2929,ICD,card
Delirium due to conditions classified elsewhere,2930,ICD,card
Subacute delirium,2931,ICD,card
Unspecified transient mental disorder in conditions classified elsewhere,2939,ICD,card
Other persistent mental disorders due to conditions classified elsewhere,2948,ICD,card
Unspecified persistent mental disorders due to conditions classified elsewhere,2949,ICD,card
"Bipolar I disorder, most recent episode (or current) unspecified",2967,ICD,card
Delusional disorder,2971,ICD,card
Unspecified paranoid state,2979,ICD,card
Reactive confusion,2982,ICD,card
Other and unspecified reactive psychosis,2988,ICD,card
Unspecified psychosis,2989,ICD,card
Obsessive-compulsive disorders,3003,ICD,card
Dysthymic disorder,3004,ICD,card
Unspecified nonpsychotic mental disorder,3009,ICD,card
Respiratory malfunction arising from mental factors,3061,ICD,card
Cardiovascular malfunction arising from mental factors,3062,ICD,card
Anorexia nervosa,3071,ICD,card
Predominant disturbance of emotions,3080,ICD,card
Unspecified acute reaction to stress,3089,ICD,card
Adjustment disorder with depressed mood,3090,ICD,card
Prolonged depressive reaction as adjustment reaction,3091,ICD,card
Adjustment disorder with mixed disturbance of emotions and conduct,3094,ICD,card
Unspecified adjustment reaction,3099,ICD,card
Personality change due to conditions classified elsewhere,3101,ICD,card
Postconcussion syndrome,3102,ICD,card
Unspecified nonpsychotic mental disorder following organic brain damage,3109,ICD,card
Meningitis due to unspecified bacterium,3209,ICD,card
Unspecified meningitis,3229,ICD,card
"Unspecified causes of encephalitis, myelitis, and encephalomyelitis",3239,ICD,card
Intracranial abscess,3240,ICD,card
Communicating hydrocephalus,3313,ICD,card
Obstructive hydrocephalus,3314,ICD,card
Idiopathic normal pressure hydrocephalus [INPH],3315,ICD,card
Paralysis agitans,3320,ICD,card
Secondary Parkinsonism,3321,ICD,card
Neoplasm related pain (acute) (chronic),3383,ICD,card
Unspecified infantile cerebral palsy,3439,ICD,card
Unspecified paralysis,3449,ICD,card
Anoxic brain damage,3481,ICD,card
Benign intracranial hypertension,3482,ICD,card
Cerebral edema,3485,ICD,card
Atypical face pain,3502,ICD,card
Unspecified inflammatory and toxic neuropathy,3579,ICD,card
Toxic myopathy,3594,ICD,card
Unspecified visual disturbance,3689,ICD,card
Unspecified visual loss,3699,ICD,card
Unspecified staphylococcal septicemia,3810,ICD,card
Methicillin susceptible Staphylococcus aureus septicemia,3811,ICD,card
Methicillin resistant Staphylococcus aureus septicemia,3812,ICD,card
Other staphylococcal septicemia,3819,ICD,card
Septicemia due to unspecified gram-negative organism,3840,ICD,card
Septicemia due to hemophilus influenzae (H. influenzae),3841,ICD,card
Septicemia due to Escherichia coli (E. coli),3842,ICD,card
Septicemia due to pseudomonas,3843,ICD,card
Septicemia due to serratia,3844,ICD,card
Other septicemia due to gram-negative organism,3849,ICD,card
Acute rheumatic pericarditis,3910,ICD,card
Acute rheumatic endocarditis,3911,ICD,card
Other acute rheumatic heart disease,3918,ICD,card
Unspecified acute rheumatic heart disease,3919,ICD,card
Mitral stenosis,3940,ICD,card
Rheumatic mitral insufficiency,3941,ICD,card
Mitral stenosis with insufficiency,3942,ICD,card
Other and unspecified mitral valve diseases,3949,ICD,card
Rheumatic aortic stenosis,3950,ICD,card
Rheumatic aortic insufficiency,3951,ICD,card
Rheumatic aortic stenosis with insufficiency,3952,ICD,card
Other and unspecified rheumatic aortic diseases,3959,ICD,card
Mitral valve stenosis and aortic valve stenosis,3960,ICD,card
Mitral valve stenosis and aortic valve insufficiency,3961,ICD,card
Mitral valve insufficiency and aortic valve stenosis,3962,ICD,card
Mitral valve insufficiency and aortic valve insufficiency,3963,ICD,card
Multiple involvement of mitral and aortic valves,3968,ICD,card
Unspecified mitral and aortic valve diseases,3969,ICD,card
Diseases of tricuspid valve,3970,ICD,card
Rheumatic diseases of pulmonary valve,3971,ICD,card
"Essential hypertension, malignant",4010,ICD,card
Postmyocardial infarction syndrome,4110,ICD,card
Intermediate coronary syndrome,4111,ICD,card
Angina decubitus,4130,ICD,card
Prinzmetal angina,4131,ICD,card
Other and unspecified angina pectoris,4139,ICD,card
Chronic total occlusion of coronary artery,4142,ICD,card
Coronary atherosclerosis due to lipid rich plaque,4143,ICD,card
Other specified forms of chronic ischemic heart disease,4148,ICD,card
Unspecified chronic ischemic heart disease,4149,ICD,card
Acute cor pulmonale,4150,ICD,card
Primary pulmonary hypertension,4160,ICD,card
Chronic pulmonary embolism,4162,ICD,card
Other chronic pulmonary heart diseases,4168,ICD,card
Unspecified chronic pulmonary heart disease,4169,ICD,card
Arteriovenous fistula of pulmonary vessels,4170,ICD,card
Aneurysm of pulmonary artery,4171,ICD,card
Other specified disease of pulmonary circulation,4178,ICD,card
